...1,alternative.id,container.title,created,deposited,published.print,doi,indexed,issn,issue,issued,member,page,prefix,publisher,score,source,reference.count,references.count,is.referenced.by.count,subject,title,type,update.policy,url,volume,abstract,language,short.container.title,published.online,paper
143,10.1128/aem.00632-22,Applied and Environmental Microbiology,6/16/22,7/12/22,7/12/22,10.1128/aem.00632-22,10/20/22,"0099-2240,1098-5336",13,7/12/22,235,NA,10.1128,American Society for Microbiology,0.9975192,Crossref,89,89,1,"Ecology,Applied Microbiology and Biotechnology,Food Science,Biotechnology",Microorganisms Accelerate REE Mineralization in Supergene Environments,journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aem.00632-22,88,"<jats:p>Understanding the role of microorganisms in the formation of regolith-hosted rare earth element (REE) deposits is beneficial for improving the metallogenic theory and deposit exploitation, given that such deposits absolutely exist in subtropical regions with strong microbial activities. Little is known of the microbial community composition and its contribution to REE mineralization in this kind of deposit.</jats:p>",en,Appl Environ Microbiol,NA,https://journals.asm.org/doi/10.1128/aem.00632-22
148,10.1128/AEM.01759-08,Applied and Environmental Microbiology,10/4/08,2/23/22,2008-12,10.1128/aem.01759-08,2/7/23,"0099-2240,1098-5336",23,2008-12,235,7383-7390,10.1128,American Society for Microbiology,0.9970563,Crossref,18,18,8,"Ecology,Applied Microbiology and Biotechnology,Food Science,Biotechnology","Knockout of the Erythromycin Biosynthetic Cluster Gene,
            <i>eryBI</i>
            , Blocks Isoflavone Glucoside Bioconversion during Erythromycin Fermentations in
            <i>Aeromicrobium erythreum</i>
            but Not in
            <i>Saccharopolyspora erythraea</i>",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aem.01759-08,74,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            Isoflavone glucosides are valuable nutraceutical compounds and are present in commercial fermentations, such as the erythromycin fermentation, as constituents of the soy flour in the growth medium. The purpose of this study was to develop a method for recovery of the isoflavone glucosides as value-added coproducts at the end of either
            <jats:italic>Saccharopolyspora erythraea</jats:italic>
            or
            <jats:italic>Aeromicrobium erythreum</jats:italic>
            fermentation. Because the first step in isoflavone metabolism was known to be the conversion of isoflavone glucosides to aglycones by a β-glucosidase, we chose to knock out the only β-glucosidase gene known at the start of the study,
            <jats:italic>eryBI</jats:italic>
            , to see what effect this had on metabolism of isoflavone glucosides in each organism. In the unicellular erythromycin producer
            <jats:italic>A. erythreum</jats:italic>
            , knockout of
            <jats:italic>eryBI</jats:italic>
            was sufficient to block the conversion of isoflavone glucosides to aglycones. In
            <jats:italic>S. erythraea</jats:italic>
            , knockout of
            <jats:italic>eryBI</jats:italic>
            had no effect on this reaction, suggesting that other β-glucosidases are present. Erythromycin production was not significantly affected in either strain as a result of the
            <jats:italic>eryBI</jats:italic>
            knockout. This study showed that isoflavone metabolism could be blocked in
            <jats:italic>A. erythreum</jats:italic>
            by
            <jats:italic>eryBI</jats:italic>
            knockout but that
            <jats:italic>eryBI</jats:italic>
            knockout was not sufficient to block isoflavone metabolism in
            <jats:italic>S. erythraea</jats:italic>
            .
          </jats:p>",en,Appl Environ Microbiol,NA,https://journals.asm.org/doi/10.1128/aem.01759-08
153,10.1128/AEM.72.5.3321-3329.2006,Applied and Environmental Microbiology,5/4/06,2/23/22,2006-05,10.1128/aem.72.5.3321-3329.2006,2/17/23,"0099-2240,1098-5336",5,2006-05,235,3321-3329,10.1128,American Society for Microbiology,0.9966821,Crossref,58,58,46,"Ecology,Applied Microbiology and Biotechnology,Food Science,Biotechnology","Characterization of Novel Carbazole Catabolism Genes from Gram-Positive Carbazole Degrader
            <i>Nocardioides aromaticivorans</i>
            IC177",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aem.72.5.3321-3329.2006,72,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            <jats:italic>Nocardioides aromaticivorans</jats:italic>
            IC177 is a gram-positive carbazole degrader. The genes encoding carbazole degradation (
            <jats:italic>car</jats:italic>
            genes) were cloned into a cosmid clone and sequenced partially to reveal 19 open reading frames. The
            <jats:italic>car</jats:italic>
            genes were clustered into the
            <jats:italic>carAaCBaBbAcAd</jats:italic>
            and
            <jats:italic>carDFE</jats:italic>
            gene clusters, encoding the enzymes responsible for the degradation of carbazole to anthranilate and 2-hydroxypenta-2,4-dienoate and of 2-hydroxypenta-2,4-dienoate to pyruvic acid and acetyl coenzyme A, respectively. The conserved amino acid motifs proposed to bind the Rieske-type [2Fe-2S] cluster and mononuclear iron, the Rieske-type [2Fe-2S] cluster, and flavin adenine dinucleotide were found in the deduced amino acid sequences of
            <jats:italic>carAa</jats:italic>
            ,
            <jats:italic>carAc</jats:italic>
            , and
            <jats:italic>carAd</jats:italic>
            , respectively, which showed similarities with CarAa from
            <jats:italic>Sphingomonas</jats:italic>
            sp. strain KA1 (49% identity), CarAc from
            <jats:italic>Pseudomonas resinovorans</jats:italic>
            CA10 (31% identity), and AhdA4 from
            <jats:italic>Sphingomonas</jats:italic>
            sp. strain P2 (37% identity), respectively.
            <jats:italic>E</jats:italic>
            s
            <jats:italic>cherichia coli</jats:italic>
            cells expressing CarAaAcAd exhibited major carbazole 1,9a-dioxygenase (CARDO) activity. These data showed that the IC177 CARDO is classified into class IIB, while gram-negative CARDOs are classified into class III or IIA, indicating that the respective CARDOs have diverse types of electron transfer components and high similarities of the terminal oxygenase. Reverse transcription-PCR (RT-PCR) experiments showed that the
            <jats:italic>carAaCBaBbAcAd</jats:italic>
            and
            <jats:italic>carDFE</jats:italic>
            gene clusters are operonic. The results of quantitative RT-PCR experiments indicated that transcription of both operons is induced by carbazole or its metabolite, whereas anthranilate is not an inducer. Biotransformation analysis showed that the IC177 CARDO exhibits significant activities for naphthalene, carbazole, and dibenzo-
            <jats:italic>p</jats:italic>
            -dioxin but less activity for dibenzofuran and biphenyl.
          </jats:p>",en,Appl Environ Microbiol,NA,https://journals.asm.org/doi/10.1128/aem.72.5.3321-3329.2006
160,10.1128/AEM.68.2.1010-1013.2002,Applied and Environmental Microbiology,2/26/03,2/23/22,2002-02,10.1128/aem.68.2.1010-1013.2002,7/17/22,"0099-2240,1098-5336",2,2002-02,235,1010-1013,10.1128,American Society for Microbiology,0.9965402,Crossref,9,9,28,"Ecology,Applied Microbiology and Biotechnology,Food Science,Biotechnology","Quantitation of DNA Sequences in Environmental PCR Products by a Multiplexed, Bead-Based Method",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aem.68.2.1010-1013.2002,68,"<jats:title>ABSTRACT</jats:title>
          <jats:p>A first application of a multiplexed, bead-based method is described for determining the abundances of target sequences in an environmental PCR product. Target sequences as little as 0.3% of the total amount of DNA can be quantified. Tests were conducted on 16S ribosomal DNA sequences from microorganisms collected from contaminated groundwater.</jats:p>",en,Appl Environ Microbiol,NA,https://journals.asm.org/doi/10.1128/aem.68.2.1010-1013.2002
189,10.1128/AEM.00384-18,Applied and Environmental Microbiology,4/13/18,2/23/22,6/15/18,10.1128/aem.00384-18,1/29/23,"0099-2240,1098-5336",12,6/15/18,235,NA,10.1128,American Society for Microbiology,0.9949757,Crossref,45,45,17,"Ecology,Applied Microbiology and Biotechnology,Food Science,Biotechnology",Changes in the Rumen Epithelial Microbiota of Cattle and Host Gene Expression in Response to Alterations in Dietary Carbohydrate Composition,journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/aem.00384-18,84,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            The inclusion of high-quality hay (HQH), in place of concentrates, shifts dietary carbohydrate intake, and the extent to which these shifts effect epimural microbiota and epithelial gene expression of the rumen has not yet been evaluated. Eight ruminally cannulated nonlactating Holstein cows were used in a replicated 4 by 4 Latin square design with four dietary treatments containing HQH, with either 0% concentrate/100% HQH (100HQH), 25% concentrate/75% HQH (75HQH), or 40% concentrate/60% HQH (60HQH). The fourth group (control [CON]) was fed 60% normal fiber-rich hay and 40% concentrate. The data showed that measures of diversity for the rumen epimural population, specifically the Shannon (
            <jats:italic>P</jats:italic>
            = 0.004) and Simpson (
            <jats:italic>P</jats:italic>
            = 0.003) indices, decreased with increasing levels of HQH in the diet. The feeding of HQH shifted the epimural population from predominantly
            <jats:named-content content-type=""genus-species"">Firmicutes</jats:named-content>
            to
            <jats:named-content content-type=""genus-species"">Proteobacteria</jats:named-content>
            . Phylogenetic analysis revealed that HQH feeding markedly shifted the abundance of
            <jats:named-content content-type=""genus-species"">Campylobacter</jats:named-content>
            spp. from 7.8 up to 33.5% (
            <jats:italic>P</jats:italic>
            &lt; 0.001), with greater ingestion of protein (
            <jats:italic>r</jats:italic>
            = 0.63) and sugars (
            <jats:italic>r</jats:italic>
            = 0.65) in HQH diet being responsible for this shift. The expression of genes targeting intracellular pH regulation, barrier function, and nutrient uptake of rumen epithelium remained stable regardless of the carbohydrate source. In conclusion, the data suggest strong alterations of the ruminal epimural microbiota in response to changes in the nutritive patterns of the diet. Further research is warranted to evaluate the long-term effects of these significant microbial changes on rumen health and food safety aspects in cattle at a transcriptional level.
          </jats:p>
          <jats:p>
            <jats:bold>IMPORTANCE</jats:bold>
            Feeding of forages versus starchy concentrates is a highly debated topic. Hay is believed to be healthier and more ecological sustainable for cattle than are concentrates, although the effects of feeding hay with enhanced sugar and protein content on epimural microbiota and host gene expression have not yet been evaluated. This research provides a report of the role of feeding hay with increased sugar and protein content in place of starchy concentrates in altering epimural microbiota and in generating a host response. Our research shows that the addition of high-quality hay to dairy rations shifted nutrient intake, resulting in strong alterations in the epimural microbiota in cattle. This work provides a background for further long-term research regarding the effects of feeding practices on the host-microbiome interaction and its role in rumen health and food safety in cattle.
          </jats:p>",en,Appl Environ Microbiol,NA,https://journals.asm.org/doi/10.1128/aem.00384-18
203,10.1128/IAI.74.2.1141-1147.2006,Infection and Immunity,1/21/06,3/5/22,2006-02,10.1128/iai.74.2.1141-1147.2006,2/20/23,"0019-9567,1098-5522",2,2006-02,235,1141-1147,10.1128,American Society for Microbiology,0.99976605,Crossref,34,34,128,"Infectious Diseases,Immunology,Microbiology,Parasitology","Genetic and Phenotypic Diversity of Quorum-Sensing Systems in Clinical and Environmental Isolates of
            <i>Vibrio cholerae</i>",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/iai.74.2.1141-1147.2006,74,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            <jats:italic>Vibrio cholerae</jats:italic>
            is the causative agent of cholera, a severe and devastating diarrheal disease.
            <jats:italic>V. cholerae</jats:italic>
            lives naturally in various aquatic habitats during interepidemic periods. Recent studies reveal that quorum-sensing systems, which exist in many bacteria and help them monitor their population densities and regulate various cellular functions, control
            <jats:italic>V. cholerae</jats:italic>
            pathogenesis, biofilm formation, and protease production. In this study we surveyed quorum-sensing systems in 16 geographically diverse
            <jats:italic>V. cholerae</jats:italic>
            strains from epidemic-causing O1 and O139 strains as well as non-O1/non-O139 and environmental isolates and discovered an unexpectedly high rate of dysfunctional components. We also found that a functional quorum-sensing system conferred a survival advantage on bacteria in biofilms when the bacteria were exposed to seawater, though quorum sensing was less important to survival in a planktonic state under the same conditions. These findings suggest that variations in quorum-sensing systems are due to environmental selective pressures and might be beneficial to
            <jats:italic>V. cholerae</jats:italic>
            's fitness under certain conditions found in its natural reservoirs.
          </jats:p>",en,Infect Immun,NA,https://journals.asm.org/doi/10.1128/iai.74.2.1141-1147.2006
231,10.1128/IAI.05033-11,Infection and Immunity,7/12/11,3/5/22,2011-09,10.1128/iai.05033-11,2/20/23,"0019-9567,1098-5522",9,2011-09,235,3552-3562,10.1128,American Society for Microbiology,0.9980665,Crossref,58,58,80,"Infectious Diseases,Immunology,Microbiology,Parasitology",Attaching and Effacing Bacterial Effector NleC Suppresses Epithelial Inflammatory Responses by Inhibiting NF-κB and p38 Mitogen-Activated Protein Kinase Activation,journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/iai.05033-11,79,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            Enteropathogenic
            <jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">Escherichia coli</jats:named-content>
            (EPEC) and enterohemorrhagic
            <jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">E. coli</jats:named-content>
            are noninvasive attaching and effacing (A/E) bacterial pathogens that cause intestinal inflammation and severe diarrheal disease. These pathogens utilize a type III secretion system to deliver effector proteins into host epithelial cells, modulating diverse cellular functions, including the release of the chemokine interleukin-8 (IL-8). While studies have implicated the effectors NleE (non-locus of enterocyte effacement [LEE]-encoded effector E) and NleH1 in suppressing IL-8 release, by preventing NF-κB nuclear translocation, the impact of these effectors only partially replicates the immunosuppressive actions of wild-type EPEC, suggesting another effector or effectors are involved. Testing an array of EPEC mutants, we identified the non-LEE-encoded effector C (NleC) as also suppressing IL-8 release. Infection by Δ
            <jats:italic>nleC</jats:italic>
            EPEC led to exaggerated IL-8 release from infected Caco-2 and HT-29 epithelial cells. NleC localized to EPEC-induced pedestals, with signaling studies revealing NleC inhibits both NF-κB and p38 mitogen-activated protein kinase (MAPK) activation. Using
            <jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">Citrobacter rodentium</jats:named-content>
            , a mouse-adapted A/E bacterium, we found that Δ
            <jats:italic>nleC</jats:italic>
            and wild-type
            <jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">C. rodentium</jats:named-content>
            -infected mice carried similar pathogen burdens, yet Δ
            <jats:italic>nleC</jats:italic>
            strain infection led to worsened colitis. Similarly, infection with Δ
            <jats:italic>nleC</jats:italic>
            <jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">C. rodentium</jats:named-content>
            in a cecal loop model induced significantly greater chemokine responses than infection with wild-type bacteria. These studies thus advance our understanding of how A/E pathogens subvert host inflammatory responses.
          </jats:p>",en,Infect Immun,NA,https://journals.asm.org/doi/10.1128/iai.05033-11
245,10.1128/IAI.00844-10,Infection and Immunity,9/8/10,3/5/22,2010-11,10.1128/iai.00844-10,2/15/23,"0019-9567,1098-5522",11,2010-11,235,4895-4911,10.1128,American Society for Microbiology,0.99638516,Crossref,93,93,49,"Infectious Diseases,Immunology,Microbiology,Parasitology","Human Conjunctival Transcriptome Analysis Reveals the Prominence of Innate Defense in
            <i>Chlamydia trachomatis</i>
            Infection",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/iai.00844-10,78,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            Trachoma is the leading infectious cause of blindness and is endemic in 52 countries. There is a critical need to further our understanding of the host response during disease and infection, as millions of individuals are still at risk of developing blinding sequelae. Infection of the conjunctival epithelial cells by the causative bacterium,
            <jats:italic>Chlamydia trachomatis</jats:italic>
            , stimulates an acute host response. The main clinical feature is a follicular conjunctivitis that is incompletely defined at the tissue-specific gene expression and molecular levels. To explore the features of disease and the response to infection, we measured host gene expression in conjunctival samples from Gambian children with active trachoma and healthy controls. Genome-wide expression and transcription network analysis identified signatures characteristic of the expected infiltrating immune cell populations, such as neutrophils and T/B lymphocytes. The expression signatures were also significantly enriched for genes in pathways which regulate NK cell activation and cytotoxicity, antigen processing and presentation, chemokines, cytokines, and cytokine receptors. The data suggest that in addition to polymorph and adaptive cellular responses, NK cells may contribute to a significant component of the conjunctival inflammatory response to chlamydial infection.
          </jats:p>",en,Infect Immun,NA,https://journals.asm.org/doi/10.1128/iai.00844-10
259,10.1128/IAI.01667-06,Infection and Immunity,12/12/06,3/5/22,2007-03,10.1128/iai.01667-06,1/16/23,"0019-9567,1098-5522",3,2007-03,235,1177-1185,10.1128,American Society for Microbiology,0.9956234,Crossref,54,54,59,"Infectious Diseases,Immunology,Microbiology,Parasitology","A Novel Chimeric
            <i>Plasmodium vivax</i>
            Circumsporozoite Protein Induces Biologically Functional Antibodies That Recognize both VK210 and VK247 Sporozoites",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/iai.01667-06,75,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            A successful vaccine against
            <jats:italic>Plasmodium vivax</jats:italic>
            malaria would significantly improve the health and quality of the lives of more than 1 billion people around the world. A subunit vaccine is the only option in the absence of long-term culture of
            <jats:italic>P. vivax</jats:italic>
            parasites. The circumsporozoite protein that covers the surface of
            <jats:italic>Plasmodium</jats:italic>
            sporozoites is one of the best-studied malarial antigens and the most promising vaccine in clinical trials. We report here the development of a novel “immunologically optimal” recombinant vaccine expressed in
            <jats:italic>Escherichia coli</jats:italic>
            that encodes a chimeric CS protein encompassing repeats from the two major alleles, VK210 and VK247. This molecule is widely recognized by sera from patients naturally exposed to
            <jats:italic>P. vivax</jats:italic>
            infection and induces a highly potent immune response in genetically disparate strains of mice. Antibodies from immunized animals recognize both VK210 and VK247 sporozoites. Furthermore, these antibodies appear to be protective in nature since they cause the agglutination of live sporozoites, an in vitro surrogate of sporozoite infectivity. These results strongly suggest that recombinant CS is biologically active and highly immunogenic across major histocompatibility complex strains and raises the prospect that in humans this vaccine may induce protective immune responses.
          </jats:p>",en,Infect Immun,NA,https://journals.asm.org/doi/10.1128/iai.01667-06
283,10.1128/IAI.73.11.7789.2005,Infection and Immunity,10/26/05,3/5/22,2005-11,10.1128/iai.73.11.7789.2005,1/27/23,"0019-9567,1098-5522",11,2005-11,235,7789-7789,10.1128,American Society for Microbiology,0.993669,Crossref,0,0,2,"Infectious Diseases,Immunology,Microbiology,Parasitology","Comparative Opsonic and Protective Activities of
            <i>Staphylococcus aureus</i>
            Conjugate Vaccines Containing Native or Deacetylated Staphylococcal Poly-
            <i>N</i>
            -Acetyl-β-(1-6)-Glucosamine",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/iai.73.11.7789.2005,73,NA,en,Infect Immun,NA,https://journals.asm.org/doi/10.1128/iai.73.11.7789.2005
270,10.1128/IAI.73.11.7142-7150.2005,Infection and Immunity,10/26/05,3/5/22,2005-11,10.1128/iai.73.11.7142-7150.2005,2/19/23,"0019-9567,1098-5522",11,2005-11,235,7142-7150,10.1128,American Society for Microbiology,0.9948707,Crossref,37,37,110,"Infectious Diseases,Immunology,Microbiology,Parasitology","Pathogenesis of
            <i>Yersinia pestis</i>
            Infection in BALB/c Mice: Effects on Host Macrophages and Neutrophils",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/iai.73.11.7142-7150.2005,73,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            The pathogenesis of infection with
            <jats:italic>Yersinia pestis</jats:italic>
            , the causative agent of plague, was examined following subcutaneous infection of BALB/c mice with a fully virulent strain expressing green fluorescent protein. Plate culturing, flow cytometry, and laser confocal microscopy of spleen homogenates throughout infection revealed three discernible stages of infection. The early phase was characterized by the presence of a small number of intracellular bacteria mostly within CD11b
            <jats:sup>+</jats:sup>
            macrophages and Ly-6G
            <jats:sup>+</jats:sup>
            neutrophils. These bacteria were not viable, as determined by plate culturing of spleen homogenates, until day 2 postinfection. Between days 2 and 4 postinfection, a plateau phase was observed, with bacterial burdens of 10
            <jats:sup>3</jats:sup>
            to 10
            <jats:sup>4</jats:sup>
            CFU per spleen. Flow cytometric analysis revealed that there was even distribution of
            <jats:italic>Y. pestis</jats:italic>
            within both CD11b
            <jats:sup>+</jats:sup>
            macrophage and Ly-6G
            <jats:sup>+</jats:sup>
            neutrophil populations on day 2 postinfection. However, from day 3 postinfection onward, intracellular bacteria were observed exclusively within splenic CD11b
            <jats:sup>+</jats:sup>
            macrophages. The late phase of infection, between days 4 and 5 postinfection, was characterized by a rapid increase in bacterial numbers, as well as escape of bacteria into the extracellular compartment. Annexin V staining of spleens indicated that a large proportion of splenic neutrophils underwent rapid apoptosis on days 1 and 2 postinfection. Fewer macrophages underwent apoptosis during the same period. Our data suggest that during the early stages of
            <jats:italic>Y. pestis</jats:italic>
            infection, splenic neutrophils are responsible for limiting the growth of
            <jats:italic>Y. pestis</jats:italic>
            and that splenic macrophages provide safe intracellular shelters within which
            <jats:italic>Y. pestis</jats:italic>
            is able to grow and escape during the later stages of infection. This macrophage compliance can be overcome in vitro by stimulation with a combination of gamma interferon and tumor necrosis factor alpha.
          </jats:p>",en,Infect Immun,NA,https://journals.asm.org/doi/10.1128/iai.73.11.7142-7150.2005
227,10.1128/IAI.00406-10,Infection and Immunity,6/2/10,3/5/22,2010-08,10.1128/iai.00406-10,2/19/23,"0019-9567,1098-5522",8,2010-08,235,3465-3474,10.1128,American Society for Microbiology,0.9982687,Crossref,57,57,120,"Infectious Diseases,Immunology,Microbiology,Parasitology","<i>Coxiella burnetii</i>
            Phase I and II Variants Replicate with Similar Kinetics in Degradative Phagolysosome-Like Compartments of Human Macrophages",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/iai.00406-10,78,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            <jats:italic>Coxiella burnetii</jats:italic>
            infects mononuclear phagocytes, where it directs biogenesis of a vacuolar niche termed the parasitophorous vacuole (PV). Owing to its lumenal pH (∼5) and fusion with endolysosomal vesicles, the PV is considered phagolysosome-like. However, the degradative properties of the mature PV are unknown, and there are conflicting reports on the maturation state and growth permissiveness of PV harboring virulent phase I or avirulent phase II
            <jats:italic>C. burnetii</jats:italic>
            variants in human mononuclear phagocytes. Here, we employed infection of primary human monocyte-derived macrophages (HMDMs) and THP-1 cells as host cells to directly compare the PV maturation kinetics and pathogen growth in cells infected with the Nine Mile phase I variant (NMI) or phase II variant (NMII) of
            <jats:italic>C. burnetii</jats:italic>
            . In both cell types, phase variants replicated with similar kinetics, achieving roughly 2 to 3 log units of growth before they reached stationary phase. HMDMs infected by either phase variant secreted similar amounts of the proinflammatory cytokines interleukin-6 and tumor necrosis factor alpha. In infected THP-1 cells, equal percentages of NMI and NMII PVs decorate with the early endosomal marker Rab5, the late endosomal/lysosomal markers Rab7 and CD63, and the lysosomal marker cathepsin D at early (8 h) and late (72 h) time points postinfection (p.i.). Mature PVs (2 to 4 days p.i.) harboring NMI or NMII contained proteolytically active cathepsins and quickly degraded
            <jats:italic>Escherichia coli</jats:italic>
            . These data suggest that
            <jats:italic>C. burnetii</jats:italic>
            does not actively inhibit phagolysosome function as a survival mechanism. Instead, NMI and NMII resist degradation to replicate in indistinguishable digestive PVs that fully mature through the endolysosomal pathway.
          </jats:p>",en,Infect Immun,NA,https://journals.asm.org/doi/10.1128/iai.00406-10
309,10.1128/JB.186.14.4502-4509.2004,Journal of Bacteriology,7/1/04,7/29/21,7/15/04,10.1128/jb.186.14.4502-4509.2004,2/16/23,"0021-9193,1098-5530",14,7/15/04,235,4502-4509,10.1128,American Society for Microbiology,0.9996006,Crossref,32,32,28,"Molecular Biology,Microbiology","Genes Regulated by TorR, the Trimethylamine Oxide Response Regulator of
            <i>Shewanella oneidensis</i>",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/jb.186.14.4502-4509.2004,186,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            The
            <jats:italic>torECAD</jats:italic>
            operon encoding the trimethylamine oxide (TMAO) respiratory system of
            <jats:italic>Shewanella oneidensis</jats:italic>
            is positively controlled by the TorS/TorR two-component system when TMAO is available. Activation of the
            <jats:italic>tor</jats:italic>
            operon occurs upon binding of the phosphorylated response regulator TorR to a single operator site containing the direct repeat nucleotide sequence TTCATAN
            <jats:sub>4</jats:sub>
            TTCATA. Here we show that the replacement of any nucleotide of one TTCATA hexamer prevented TorR binding in vitro, meaning that TorR specifically interacts with this DNA target. Identical direct repeat sequences were found in the promoter regions of
            <jats:italic>torR</jats:italic>
            and of the new gene
            <jats:italic>torF</jats:italic>
            (
            <jats:italic>SO4694</jats:italic>
            ), and they allowed TorR binding to both promoters. Real-time PCR experiments revealed that
            <jats:italic>torR</jats:italic>
            is negatively autoregulated, whereas
            <jats:italic>torF</jats:italic>
            is strongly induced by TorR in response to TMAO. Transcription start site location and footprinting analysis indicate that the operator site at
            <jats:italic>torR</jats:italic>
            overlaps the promoter −10 box, whereas the operator site at
            <jats:italic>torF</jats:italic>
            is centered at −74 bp from the start site, in agreement with the opposite role of TorR in the regulation of the two genes. Since
            <jats:italic>torF</jats:italic>
            and
            <jats:italic>torECAD</jats:italic>
            are positively coregulated by TorR, we propose that the TorF protein plays a role related to TMAO respiration.
          </jats:p>",en,J Bacteriol,NA,https://journals.asm.org/doi/10.1128/jb.186.14.4502-4509.2004
311,10.1128/JB.00287-08,Journal of Bacteriology,5/10/08,7/29/21,2008-07,10.1128/jb.00287-08,4/3/22,"0021-9193,1098-5530",13,2008-07,235,4641-4647,10.1128,American Society for Microbiology,0.999567,Crossref,50,50,20,"Molecular Biology,Microbiology","Lipoprotein Signal Peptides Are Processed by Lsp and Eep of
            <i>Streptococcus uberis</i>",journal-article,http://dx.doi.org/10.1128/asmj-crossmark-policy-page,http://dx.doi.org/10.1128/jb.00287-08,190,"<jats:title>ABSTRACT</jats:title>
          <jats:p>
            Lipoprotein signal peptidase (
            <jats:italic>lsp</jats:italic>
            ) is responsible for cleaving the signal peptide sequence of lipoproteins in gram-positive bacteria. Investigation of the role of Lsp in
            <jats:italic>Streptococcus uberis</jats:italic>
            , a common cause of bovine mastitis, was undertaken using the lipoprotein MtuA (a protein essential for virulence) as a marker. The
            <jats:italic>S. uberis lsp</jats:italic>
            mutant phenotype displayed novel lipoprotein processing. Not only was full-length (uncleaved) MtuA detected by Western blotting, but during late log phase, a lower-molecular-weight derivative of MtuA was evident. Similar analysis of an
            <jats:italic>S. uberis</jats:italic>
            double mutant containing insertions disrupting both
            <jats:italic>lsp</jats:italic>
            and
            <jats:italic>eep</jats:italic>
            (a homologue of the
            <jats:italic>Enterococcus faecalis</jats:italic>
            “enhanced expression of pheromone” gene) indicated a role for
            <jats:italic>eep</jats:italic>
            in cleavage of lipoproteins in the absence of Lsp. Such a function may indicate a role for
            <jats:italic>eep</jats:italic>
            in maintenance of secretion pathways during disruption of normal lipoprotein processing.
          </jats:p>",en,J Bacteriol,NA,https://journals.asm.org/doi/10.1128/jb.00287-08
